race_date,venue,race_no,race_name,distance,surface,direction,track_cond,weather,field_size,waku,horse_no,horse_name,sex,age,weight_carried,horse_weight,weight_change,jockey,trainer,win_odds
2026/06/16,川崎,1,３歳６,1400,ダ,左,稍重,晴,12,1,1,ショックザワールド,牡,3,,,,佐藤翔,山崎尋,7.0
2026/06/16,川崎,1,３歳６,1400,ダ,左,稍重,晴,12,2,2,ミュークティアラ,セン,3,56.0,,,伊藤裕,甲田悟,25.2
2026/06/16,川崎,1,３歳６,1400,ダ,左,稍重,晴,12,3,3,プレストジャンヌ,牝,3,54.0,,,鷹見陸,高橋宏,30.0
2026/06/16,川崎,1,３歳６,1400,ダ,左,稍重,晴,12,4,4,シェナマーブル,牡,3,56.0,,,藤江渉,山田正,17.5
2026/06/16,川崎,1,３歳６,1400,ダ,左,稍重,晴,12,5,5,クツシタオトシタ,牝,3,54.0,,,西啓太,高橋宏,4.1
2026/06/16,川崎,1,３歳６,1400,ダ,左,稍重,晴,12,6,6,クラバエル,牡,3,56.0,,,藤本現,伊藤滋,69.2
2026/06/16,川崎,1,３歳６,1400,ダ,左,稍重,晴,12,6,7,リュウノキャロット,牝,3,54.0,,,木間龍,齊藤敏,40.6
2026/06/16,川崎,1,３歳６,1400,ダ,左,稍重,晴,12,8,8,アオイノコスメ,牝,3,54.0,,,和田譲,山崎裕,46.7
2026/06/16,川崎,1,３歳６,1400,ダ,左,稍重,晴,12,7,9,テンノウズアイル,牝,3,,,,中山遥,田島寿,13.0
2026/06/16,川崎,1,３歳６,1400,ダ,左,稍重,晴,12,10,10,スーパーアイシー,牝,3,54.0,,,新原周,酒井忍,2.4
2026/06/16,川崎,1,３歳６,1400,ダ,左,稍重,晴,12,8,11,ティンガティンガ,セン,3,56.0,,,櫻井光,佐藤博,27.9
2026/06/16,川崎,1,３歳６,1400,ダ,左,稍重,晴,12,12,12,トラストテンホー,牡,3,56.0,,,野畑凌,吉橋淳,6.4
2026/06/16,川崎,2,ガスト賞３歳未格付選定馬,900,ダ,左,稍重,晴,12,1,1,モンキーコアラ,牝,3,,,,加藤雄,甲田悟,17.7
2026/06/16,川崎,2,ガスト賞３歳未格付選定馬,900,ダ,左,稍重,晴,12,2,2,シュールア,牡,3,56.0,,,新原周,安池成,15.5
2026/06/16,川崎,2,ガスト賞３歳未格付選定馬,900,ダ,左,稍重,晴,12,3,3,メロウアイズテオ,牡,3,56.0,,,古岡勇,今井輝,43.1
2026/06/16,川崎,2,ガスト賞３歳未格付選定馬,900,ダ,左,稍重,晴,12,4,4,ターボクン,牡,3,56.0,,,増田充,吉橋淳,143.9
2026/06/16,川崎,2,ガスト賞３歳未格付選定馬,900,ダ,左,稍重,晴,12,5,5,ムジークヘーレン,牝,3,,,,中山遥,平田正,47.8
2026/06/16,川崎,2,ガスト賞３歳未格付選定馬,900,ダ,左,稍重,晴,12,6,6,ノーサイドガール,牝,3,54.0,,,池谷匠,山田質,12.4
