race_date,venue,race_no,race_name,distance,surface,direction,track_cond,weather,field_size,waku,horse_no,horse_name,sex,age,weight_carried,horse_weight,weight_change,jockey,trainer,win_odds
2026/06/17,川崎,1,Ｃ３一 二,1400,ダ,左,稍重,晴,12,1,1,ティンドラ,牝,6,54.0,,,古岡勇,山崎尋,7.5
2026/06/17,川崎,1,Ｃ３一 二,1400,ダ,左,稍重,晴,12,2,2,レディハナコ,牝,4,54.0,,,櫻井光,田邊陽,62.0
2026/06/17,川崎,1,Ｃ３一 二,1400,ダ,左,稍重,晴,12,3,3,ガルヴァニック,牝,6,54.0,,,伊藤裕,村田順,51.7
2026/06/17,川崎,1,Ｃ３一 二,1400,ダ,左,稍重,晴,12,4,4,ローゼシュティア,牝,7,54.0,,,増田充,八木喜,66.5
2026/06/17,川崎,1,Ｃ３一 二,1400,ダ,左,稍重,晴,12,5,5,リコースチェッキン,牝,6,54.0,,,佐野遥,久保秀,1.6
2026/06/17,川崎,1,Ｃ３一 二,1400,ダ,左,稍重,晴,12,6,6,ニホンピロカミーノ,牡,4,56.0,,,藤江渉,武井和,7.5
2026/06/17,川崎,1,Ｃ３一 二,1400,ダ,左,稍重,晴,12,6,7,プロンプトノア,牝,5,,,,加藤雄,佐々仁,62.0
2026/06/17,川崎,1,Ｃ３一 二,1400,ダ,左,稍重,晴,12,8,8,ルジュウェール,牡,4,56.0,,,中越琉,村田順,10.0
2026/06/17,川崎,1,Ｃ３一 二,1400,ダ,左,稍重,晴,12,7,9,ヒナボンボン,牝,5,54.0,,,望月洵,古澤悟,27.3
2026/06/17,川崎,1,Ｃ３一 二,1400,ダ,左,稍重,晴,12,10,10,メガミリオン,牡,8,56.0,,,池谷匠,田島寿,14.7
2026/06/17,川崎,1,Ｃ３一 二,1400,ダ,左,稍重,晴,12,8,11,シェナチチカカ,牝,7,54.0,,,岡村裕,山田正,31.0
2026/06/17,川崎,1,Ｃ３一 二,1400,ダ,左,稍重,晴,12,12,12,セイウンヤタガラス,牡,4,56.0,,,山林信,田邊陽,15.7
2026/06/17,川崎,2,Ｃ３一 二,1400,ダ,左,稍重,晴,11,1,1,クリナデシコ,牝,4,54.0,,,岡村裕,山田正,20.3
2026/06/17,川崎,2,Ｃ３一 二,1400,ダ,左,稍重,晴,11,2,2,ミカエンブレイス,牝,4,54.0,,,古岡勇,田邊陽,6.2
2026/06/17,川崎,2,Ｃ３一 二,1400,ダ,左,稍重,晴,11,3,3,ジーティーケリー,牝,4,54.0,,,山林信,村田順,15.2
2026/06/17,川崎,2,Ｃ３一 二,1400,ダ,左,稍重,晴,11,4,4,シルヴァギンジ,牡,7,56.0,,,伊藤裕,田邊陽,3.3
2026/06/17,川崎,2,Ｃ３一 二,1400,ダ,左,稍重,晴,11,5,5,ラシャスバラード,牝,4,54.0,,,新原周,甲田悟,16.9
2026/06/17,川崎,2,Ｃ３一 二,1400,ダ,左,稍重,晴,11,6,6,スノーウィースカイ,牡,4,56.0,,,藤江渉,平田正,20.3
2026/06/17,川崎,2,Ｃ３一 二,1400,ダ,左,稍重,晴,11,7,7,ムンディ,牝,4,,,,加藤雄,武井和,6.0
2026/06/17,川崎,2,Ｃ３一 二,1400,ダ,左,稍重,晴,11,7,8,ベニノレーヴ,牡,5,,,,中山遥,田島寿,7.6
2026/06/17,川崎,2,Ｃ３一 二,1400,ダ,左,稍重,晴,11,9,9,エーテルノカゼ,牝,6,54.0,,,木間龍,八木喜,16.9
2026/06/17,川崎,2,Ｃ３一 二,1400,ダ,左,稍重,晴,11,8,10,ヤンキージャック,牝,4,54.0,,,池谷匠,今井輝,101.6
2026/06/17,川崎,2,Ｃ３一 二,1400,ダ,左,稍重,晴,11,11,11,フェデフルール,牝,7,54.0,,,佐野遥,武井和,4.8
2026/06/17,川崎,3,雷神賞Ｃ２選定馬,900,ダ,左,稍重,晴,12,1,1,ロワン,牝,4,54.0,,,櫻井光,八木喜,12.5
2026/06/17,川崎,3,雷神賞Ｃ２選定馬,900,ダ,左,稍重,晴,12,2,2,ササキンポピー,牝,5,54.0,,,古岡勇,村田順,51.8
2026/06/17,川崎,3,雷神賞Ｃ２選定馬,900,ダ,左,稍重,晴,12,3,3,セッカチドラゴン,牡,5,,,,高橋優,平田正,24.2
2026/06/17,川崎,3,雷神賞Ｃ２選定馬,900,ダ,左,稍重,晴,12,4,4,フライエフェクト,牝,4,54.0,,,中越琉,久保勇,21.3
2026/06/17,川崎,3,雷神賞Ｃ２選定馬,900,ダ,左,稍重,晴,12,5,5,ポケットフルコイン,牝,4,54.0,,,望月洵,茂木浩,22.7
2026/06/17,川崎,3,雷神賞Ｃ２選定馬,900,ダ,左,稍重,晴,12,6,6,コトノサンショ,牡,6,56.0,,,山林信,河津裕,27.9
2026/06/17,川崎,3,雷神賞Ｃ２選定馬,900,ダ,左,稍重,晴,12,6,7,コルティリオ,セン,5,56.0,,,岡村裕,山崎裕,51.8
2026/06/17,川崎,3,雷神賞Ｃ２選定馬,900,ダ,左,稍重,晴,12,8,8,ニシノアクシス,牡,9,,,,中山遥,吉田正,33.0
2026/06/17,川崎,3,雷神賞Ｃ２選定馬,900,ダ,左,稍重,晴,12,7,9,カウニスミエリ,牝,4,54.0,,,田中涼,久保勇,90.8
2026/06/17,川崎,3,雷神賞Ｃ２選定馬,900,ダ,左,稍重,晴,12,10,10,ナリノビスケッツ,牝,6,,,,加藤雄,内田勝,33.0
2026/06/17,川崎,3,雷神賞Ｃ２選定馬,900,ダ,左,稍重,晴,12,8,11,クォンタイズ,牝,4,54.0,,,藤江渉,山田質,6.1
2026/06/17,川崎,3,雷神賞Ｃ２選定馬,900,ダ,左,稍重,晴,12,12,12,ファイブエム,牝,4,54.0,,,笹川翼,佐々仁,1.3
2026/06/17,川崎,4,Ｃ２三 四,1400,ダ,左,稍重,晴,12,1,1,バクラヴァ,牝,8,54.0,,,本田重,佐々仁,6.5
2026/06/17,川崎,4,Ｃ２三 四,1400,ダ,左,稍重,晴,12,2,2,アフロガル,牡,4,56.0,,,望月洵,山田質,18.7
2026/06/17,川崎,4,Ｃ２三 四,1400,ダ,左,稍重,晴,12,3,3,エアシャロウ,セン,7,56.0,,,赤津和,箕輪武,9.3
2026/06/17,川崎,4,Ｃ２三 四,1400,ダ,左,稍重,晴,12,4,4,マインドザヘルム,牡,5,,,,菅原吏,佐々清,131.2
2026/06/17,川崎,4,Ｃ２三 四,1400,ダ,左,稍重,晴,12,5,5,クリノノヴァエ,牡,4,56.0,,,古岡勇,山崎裕,14.5
2026/06/17,川崎,4,Ｃ２三 四,1400,ダ,左,稍重,晴,12,6,6,マルゼンスキーツー,牡,5,56.0,,,吉原寛,今井輝,6.1
2026/06/17,川崎,4,Ｃ２三 四,1400,ダ,左,稍重,晴,12,6,7,ロジステート,牝,4,54.0,,,野畑凌,佐藤博,4.2
2026/06/17,川崎,4,Ｃ２三 四,1400,ダ,左,稍重,晴,12,8,8,ザムト,牝,5,54.0,,,新原周,村田順,13.1
2026/06/17,川崎,4,Ｃ２三 四,1400,ダ,左,稍重,晴,12,7,9,タツノキセキ,牡,6,56.0,,,和田譲,大津剛,8.4
2026/06/17,川崎,4,Ｃ２三 四,1400,ダ,左,稍重,晴,12,10,10,ノーヴヒーロー,牡,4,56.0,,,山中悠,林正人,21.8
2026/06/17,川崎,4,Ｃ２三 四,1400,ダ,左,稍重,晴,12,8,11,セレナス,牝,4,54.0,,,櫻井光,久保秀,52.4
2026/06/17,川崎,4,Ｃ２三 四,1400,ダ,左,稍重,晴,12,12,12,クリノフローレンス,牝,4,54.0,,,藤江渉,八木喜,4.9
2026/06/17,川崎,5,Ｃ２三 四,1400,ダ,左,稍重,晴,12,1,1,ベラヴィットーリア,牝,4,54.0,,,櫻井光,佐藤博,28.1
2026/06/17,川崎,5,Ｃ２三 四,1400,ダ,左,稍重,晴,12,2,2,ボールドポリシー,牝,4,54.0,,,望月洵,内田勝,28.1
2026/06/17,川崎,5,Ｃ２三 四,1400,ダ,左,稍重,晴,12,3,3,ビービーラドン,牝,6,54.0,,,本田重,新井清,4.1
2026/06/17,川崎,5,Ｃ２三 四,1400,ダ,左,稍重,晴,12,4,4,シヴァシン,牡,6,56.0,,,秋元耕,入口由,10.9
2026/06/17,川崎,5,Ｃ２三 四,1400,ダ,左,稍重,晴,12,5,5,アディモレナ,牡,4,56.0,,,山林信,佐々仁,16.4
2026/06/17,川崎,5,Ｃ２三 四,1400,ダ,左,稍重,晴,12,6,6,フェアーメロディ,牝,4,54.0,,,古岡勇,秋山直,10.3
2026/06/17,川崎,5,Ｃ２三 四,1400,ダ,左,稍重,晴,12,6,7,マイカグラ,牝,6,54.0,,,田中涼,武井和,14.0
2026/06/17,川崎,5,Ｃ２三 四,1400,ダ,左,稍重,晴,12,8,8,イノ,牝,6,54.0,,,増田充,佐々仁,24.6
2026/06/17,川崎,5,Ｃ２三 四,1400,ダ,左,稍重,晴,12,7,9,トゥアオウフ,牡,4,56.0,,,野畑凌,今野忠,2.2
2026/06/17,川崎,5,Ｃ２三 四,1400,ダ,左,稍重,晴,12,10,10,コットンフラワー,牝,4,54.0,,,佐野遥,鈴木義,15.1
2026/06/17,川崎,5,Ｃ２三 四,1400,ダ,左,稍重,晴,12,8,11,シュヴァイゲン,牡,5,56.0,,,藤江渉,久保秀,16.4
2026/06/17,川崎,5,Ｃ２三 四,1400,ダ,左,稍重,晴,12,12,12,ビップジェシー,牝,4,,,,加藤雄,田島寿,196.8
2026/06/17,川崎,6,青葉木菟特別３歳１,1500,ダ,左,稍重,晴,8,1,1,アマビリティ,牝,3,54.0,,,伊藤裕,河津裕,13.9
2026/06/17,川崎,6,青葉木菟特別３歳１,1500,ダ,左,稍重,晴,8,2,2,カナールゲイル,牡,3,57.0,,,野畑凌,佐々仁,2.6
2026/06/17,川崎,6,青葉木菟特別３歳１,1500,ダ,左,稍重,晴,8,3,3,ブルムーンストーン,牡,3,57.0,,,古岡勇,甲田悟,31.3
2026/06/17,川崎,6,青葉木菟特別３歳１,1500,ダ,左,稍重,晴,8,4,4,トリル,牡,3,56.0,,,池谷匠,山崎尋,13.1
2026/06/17,川崎,6,青葉木菟特別３歳１,1500,ダ,左,稍重,晴,8,5,5,ササキントモゴロウ,牡,3,56.0,,,新原周,安池成,16.6
2026/06/17,川崎,6,青葉木菟特別３歳１,1500,ダ,左,稍重,晴,8,6,6,フォーマイディア,牝,3,54.0,,,佐野遥,河津裕,5.1
2026/06/17,川崎,6,青葉木菟特別３歳１,1500,ダ,左,稍重,晴,8,7,7,イルフロッタント,牝,3,55.0,,,櫻井光,佐藤博,13.9
2026/06/17,川崎,6,青葉木菟特別３歳１,1500,ダ,左,稍重,晴,8,8,8,カズヤ,牡,3,56.0,,,矢野貴,高月賢,2.7
2026/06/17,川崎,7,ティール賞Ｃ２選定馬,2000,ダ,左,稍重,晴,10,1,1,フライングロッド,牡,5,56.0,,,西啓太,高橋宏,12.2
