race_date,venue,race_no,race_name,distance,surface,direction,track_cond,weather,field_size,waku,horse_no,horse_name,sex,age,weight_carried,horse_weight,weight_change,jockey,trainer,win_odds,finish_position,finish_time,last_3f,passage_rate,popularity,result_weight,result_weight_change
2026/03/11,金沢,1,２０２６金沢競馬開幕賞Ｃ１五,1500,ダ,右,重,晴,8,4,4,パープライト,牡,7,57.0,463,-8,松戸政,井樋一,10.5,1,1:43.7,42.0,5-5-4-3,6,463,-8
2026/03/11,金沢,1,２０２６金沢競馬開幕賞Ｃ１五,1500,ダ,右,重,晴,8,3,3,マルモルミエール,牡,6,57.0,488,-1,田知弘,金田一,2.6,2,1:43.9,42.1,6-6-2-2,1,488,-1
2026/03/11,金沢,1,２０２６金沢競馬開幕賞Ｃ１五,1500,ダ,右,重,晴,8,8,8,ビーラブドウィッチ,牝,4,55.0,439,4,葛山晃,川添明,5.7,3,1:44.2,42.2,7-7-6-5,4,439,4
2026/03/11,金沢,1,２０２６金沢競馬開幕賞Ｃ１五,1500,ダ,右,重,晴,8,2,2,フタリセゾン,牝,4,55.0,441,0,柴田勇,金田一,4.8,4,1:45.8,44.4,2-2-3-4,2,441,0
2026/03/11,金沢,1,２０２６金沢競馬開幕賞Ｃ１五,1500,ダ,右,重,晴,8,7,7,アポロダーウィン,牡,9,57.0,520,-11,服部大,宗綱泰,59.0,5,1:45.8,43.5,8-8-7-7,8,520,-11
2026/03/11,金沢,1,２０２６金沢競馬開幕賞Ｃ１五,1500,ダ,右,重,晴,8,1,1,ドナデュボア,牝,5,55.0,439,4,甲賀弘,井樋一,5.0,6,1:46.1,44.9,1-1-1-1,3,439,4
2026/03/11,金沢,1,２０２６金沢競馬開幕賞Ｃ１五,1500,ダ,右,重,晴,8,5,5,ユーバーウィンデン,牡,6,57.0,531,3,栗原大,佐藤茂,7.1,7,1:46.3,44.8,3-3-5-6,5,531,3
2026/03/11,金沢,1,２０２６金沢競馬開幕賞Ｃ１五,1500,ダ,右,重,晴,8,6,6,ナムラダリウス,牡,6,57.0,461,4,吉田晃,室井眞,25.9,8,1:50.3,47.8,4-4-8-8,7,461,4
2026/03/11,金沢,2,ケイタ２６歳じゃわめげ記念Ｃ１四,1500,ダ,右,重,晴,9,7,7,ナックシュバリエ,牡,4,57.0,501,7,田知弘,中川雅,12.0,1,1:43.7,40.8,8-8-2-1,4,501,7
2026/03/11,金沢,2,ケイタ２６歳じゃわめげ記念Ｃ１四,1500,ダ,右,重,晴,9,8,9,サノノヒーロー,セ,0,57.0,483,0,中島龍,加藤和,2.6,2,1:44.1,41.5,1-1-1-2,2,483,0
2026/03/11,金沢,2,ケイタ２６歳じゃわめげ記念Ｃ１四,1500,ダ,右,重,晴,9,5,5,デルマラメール,牝,4,55.0,443,-5,栗原大,加藤義,1.7,3,1:44.3,40.8,6-6-5-5,1,443,-5
2026/03/11,金沢,2,ケイタ２６歳じゃわめげ記念Ｃ１四,1500,ダ,右,重,晴,9,1,1,ドーンコスモ,牝,5,55.0,405,-3,甲賀弘,加藤義,26.6,4,1:44.4,40.9,5-5-7-7,6,405,-3
2026/03/11,金沢,2,ケイタ２６歳じゃわめげ記念Ｃ１四,1500,ダ,右,重,晴,9,8,8,ブルートレーラー,牝,4,55.0,443,1,青柳正,中川雅,10.9,5,1:45.3,42.1,4-4-4-3,3,443,1
2026/03/11,金沢,2,ケイタ２６歳じゃわめげ記念Ｃ１四,1500,ダ,右,重,晴,9,2,2,カフェノヴィーン,牝,10,55.0,484,3,松戸政,菅原欣,99.5,6,1:45.6,42.3,3-3-6-6,8,484,3
2026/03/11,金沢,2,ケイタ２６歳じゃわめげ記念Ｃ１四,1500,ダ,右,重,晴,9,6,6,ワールドラブ,牡,4,57.0,466,-1,吉田晃,室井眞,163.4,7,1:45.7,41.6,7-7-8-8,9,466,-1
2026/03/11,金沢,2,ケイタ２６歳じゃわめげ記念Ｃ１四,1500,ダ,右,重,晴,9,4,4,イテザ,牡,9,57.0,499,5,柴田勇,鋤田誠,19.9,8,1:46.0,43.1,2-2-3-4,5,499,5
2026/03/11,金沢,2,ケイタ２６歳じゃわめげ記念Ｃ１四,1500,ダ,右,重,晴,9,3,3,オーデンオパール,牝,4,55.0,410,14,魚住謙,鋤田誠,39.0,9,1:50.5,44.0,9-9-9-9,7,410,14
2026/03/11,金沢,3,Ｃ１三,1400,ダ,右,重,晴,9,4,4,オラヴェリタス,牡,7,57.0,524,5,吉田晃,佐藤茂,2.8,1,1:35.6,42.6,2-2-2-1,2,524,5
2026/03/11,金沢,3,Ｃ１三,1400,ダ,右,重,晴,9,2,2,ビアメントブラスト,牝,5,55.0,433,-4,田知弘,田嶋幸,115.1,2,1:36.0,42.1,6-6-3-2,7,433,-4
2026/03/11,金沢,3,Ｃ１三,1400,ダ,右,重,晴,9,7,7,スナドケイ,牝,4,55.0,486,4,青柳正,加藤和,9.5,3,1:36.2,42.1,4-5-7-7,3,486,4
2026/03/11,金沢,3,Ｃ１三,1400,ダ,右,重,晴,9,3,3,レイワガンタン,セ,0,57.0,465,-10,栗原大,佐藤茂,25.6,4,1:36.6,42.0,9-9-8-6,4,465,-10
2026/03/11,金沢,3,Ｃ１三,1400,ダ,右,重,晴,9,6,6,ナイトアウェイ,セ,0,57.0,456,-3,米倉知,加藤和,51.5,5,1:36.8,42.5,7-7-6-4,6,456,-3
2026/03/11,金沢,3,Ｃ１三,1400,ダ,右,重,晴,9,8,8,カミヤガルーラ,牡,8,57.0,473,7,柴田勇,金田一,36.5,6,1:37.3,43.5,5-4-5-5,5,473,7
2026/03/11,金沢,3,Ｃ１三,1400,ダ,右,重,晴,9,1,1,ミラクルベルン,牝,8,55.0,473,-1,甲賀弘,田嶋幸,117.1,7,1:37.3,42.6,8-8-9-8,8,473,-1
2026/03/11,金沢,3,Ｃ１三,1400,ダ,右,重,晴,9,5,5,ギオンプリンセス,牝,4,55.0,426,-8,魚住謙,池田敦,125.6,8,1:38.8,45.0,3-3-4-9,9,426,-8
2026/03/11,金沢,3,Ｃ１三,1400,ダ,右,重,晴,9,8,9,マヒオレ,セ,0,57.0,500,-6,中島龍,井樋一,1.4,9,1:39.4,46.7,1-1-1-3,1,500,-6
2026/03/11,金沢,4,ニシコリケイタ☆誕生日記念Ｃ１二,1400,ダ,右,重,晴,10,1,1,ノーブルジェネシス,牡,4,57.0,482,-16,魚住謙,鋤田誠,2.1,1,1:35.2,41.4,4-3-1-1,2,482,-16
