race_date,venue,race_no,race_name,distance,surface,direction,track_cond,weather,field_size,waku,horse_no,horse_name,sex,age,weight_carried,horse_weight,weight_change,jockey,trainer,win_odds,finish_position,finish_time,last_3f,passage_rate,popularity,result_weight,result_weight_change
2025/01/07,浦和,1,初当たり賞３歳三,1400,ダ,左,重,曇,12,5,5,クラパッション,牝,3,54.0,467,-5,山崎誠,藤原智,,1,1:31.2,40.0,1-1-1-1,8,467,-5
2025/01/07,浦和,1,初当たり賞３歳三,1400,ダ,左,重,曇,12,7,9,コスモカピタン,牡,3,56.0,448,2,野畑凌,水野貴,,2,1:31.5,40.1,3-3-2-2,2,448,2
2025/01/07,浦和,1,初当たり賞３歳三,1400,ダ,左,重,曇,12,8,12,ゴールドグラント,牝,3,54.0,468,4,和田譲,岩崎真,,3,1:31.9,40.4,5-5-4-5,5,468,4
2025/01/07,浦和,1,初当たり賞３歳三,1400,ダ,左,重,曇,12,4,4,パウダースノウ,牝,3,54.0,493,-3,張田昂,平山真,,4,1:32.0,40.6,4-4-4-3,6,493,-3
2025/01/07,浦和,1,初当たり賞３歳三,1400,ダ,左,重,曇,12,6,8,ゴールドキッド,牡,3,56.0,422,-3,室陽一,鹿沼和,,5,1:32.2,39.7,12-11-12-10,9,422,-3
2025/01/07,浦和,1,初当たり賞３歳三,1400,ダ,左,重,曇,12,5,6,ノーブルプラチナ,牡,3,56.0,541,0,福原杏,水野貴,,6,1:32.2,40.6,6-6-6-7,1,541,0
2025/01/07,浦和,1,初当たり賞３歳三,1400,ダ,左,重,曇,12,6,7,レッドディア,牝,3,54.0,417,1,落合玄,小久智,,7,1:32.4,41.0,2-2-3-4,3,417,1
2025/01/07,浦和,1,初当たり賞３歳三,1400,ダ,左,重,曇,12,1,1,オーデンオパール,牝,3,54.0,387,-3,秋元耕,薮口一,,8,1:32.4,40.3,8-9-9-6,12,387,-3
2025/01/07,浦和,1,初当たり賞３歳三,1400,ダ,左,重,曇,12,7,10,ハクシンドラゴン,セ,0,56.0,447,3,半澤慶,平山真,,9,1:32.5,40.7,9-8-7-8,10,447,3
2025/01/07,浦和,1,初当たり賞３歳三,1400,ダ,左,重,曇,12,2,2,オリエンタルマック,牡,3,56.0,461,1,藤本現,佐々功,,10,1:32.7,40.6,10-10-10-9,7,461,1
2025/01/07,浦和,1,初当たり賞３歳三,1400,ダ,左,重,曇,12,8,11,セオリーセンス,牡,3,56.0,463,-2,西啓太,野口寛,,11,1:33.2,41.5,7-7-8-11,11,463,-2
2025/01/07,浦和,1,初当たり賞３歳三,1400,ダ,左,重,曇,12,3,3,ツガノローマン,牝,3,54.0,452,11,加藤和,長谷忍,,12,1:33.6,41.0,11-12-11-12,4,452,11
2025/01/07,浦和,2,ランチタイムチャレンジＣ３八 九,1400,ダ,左,重,晴,12,5,6,トーセンイヴ,牝,7,54.0,440,2,和田譲,酒井一,,1,1:33.0,40.9,5-4-4-2,1,440,2
2025/01/07,浦和,2,ランチタイムチャレンジＣ３八 九,1400,ダ,左,重,晴,12,7,10,スクリームイーグル,セ,0,56.0,447,-8,臼井健,佐々功,,2,1:33.3,41.3,3-3-1-1,6,447,-8
2025/01/07,浦和,2,ランチタイムチャレンジＣ３八 九,1400,ダ,左,重,晴,12,5,5,ビュヴォン,牡,7,56.0,514,-3,阿部龍,長谷忍,,3,1:34.2,40.2,12-10-11-10,9,514,-3
2025/01/07,浦和,2,ランチタイムチャレンジＣ３八 九,1400,ダ,左,重,晴,12,7,9,イチゴショート,牝,7,54.0,426,4,保園翔,川村守,,4,1:34.2,42.1,7-7-2-3,3,426,4
